Clue,Answer
A domesticated carnivorous mammal,dog
A small rodent that loves cheese,mouse
A celestial body that orbits the Earth,moon
A yellow tropical fruit with a curved shape,banana
The capital of France,paris
The opposite of left,right
A large body of salt water,ocean
A metal used to make wires and coins,copper
A flying insect that produces honey,bee
The color of grass,green
A type of tree that produces acorns,oak
A person who flies an aircraft,pilot
A reptile known for changing colors,chameleon
A beverage made from fermented grapes,wine
A device used to talk over long distances,telephone
The primary color of the sky,blue
A round object used in sports,ball
A machine that computes and processes data,computer
"A soft, sweet, and red fruit often used in desserts",strawberry
A popular beverage made from coffee beans,coffee
A device used to take photographs,camera
A type of footwear worn for running,sneakers
A tool used for writing or drawing,pencil
A large herbivorous mammal known for its trunk,elephant
A soft material made from sheep's fleece,wool
A stringed musical instrument commonly used in orchestras,violin
A timepiece worn on the wrist,watch
An orange root vegetable,carrot
A large reptile found in rivers and swamps,crocodile
A type of flying vehicle used for travel,airplane
A nocturnal bird known for its hoots,owl
An ancient structure built by Egyptians,pyramid
A mode of transportation with two wheels,bicycle
A feline known for its agility,cat
An optical instrument used for seeing distant objects,telescope
A planet known for its rings,saturn
A famous fast-food item made from potatoes,fries
An organ that pumps blood through the body,heart
"A small, hard seed used in baking",seed
A type of hat worn in cold weather,beanie
A precious metal often used for jewelry,gold
An amphibian that can live both on land and in water,frog
A domesticated farm animal that produces milk,cow
A mode of transportation used on snow,sled
"A strong, durable material used in construction",brick
A freshwater fish commonly eaten as food,salmon
"A popular dish made from flour, cheese, and tomato sauce",pizza
A utensil used to eat food,fork
A famous tower in Italy that leans,leaning tower
"A soft, stuffed toy often given to children",teddy bear
"A sweet, frozen dessert made from milk and sugar",ice cream
A type of bird known for its colorful feathers,parrot
An electronic device used to watch movies and shows,television
A flying vehicle used by military forces,jet
A large mammal with a thick fur coat,bear
A plant that grows in gardens and is often eaten as a vegetable,lettuce
"A shiny, transparent object used in windows",glass
"A small, mischievous creature from folklore",goblin
"A large, slow-moving marine animal",manatee
A game played with a bat and ball,baseball
A place where books are stored and read,library
A place where you sleep,bedroom
A soft drink with carbonation,soda
A round fruit with a red or green color,apple
"A round, fried food often eaten for breakfast",donut
"A long, slithering reptile",snake
A writing material made from wood pulp,paper
A plant used to flavor food,basil
A structure used to cross a river,bridge
A famous landmark in the United States,statue of liberty
A device used to measure temperature,thermometer
A unit of currency used in the United States,dollar
"A large, spotted feline native to Africa",cheetah
A structure used to store and protect grain,barn
"A small, winged insect that bites",mosquito
A person who acts in movies or plays,actor
A part of the body used for seeing,eye
A large bird known for its impressive wingspan,eagle
A reptile with a hard shell,turtle
A device used to listen to music,headphones
"A large, wooden ship used by explorers",galleon
A person who writes books,author
A bright celestial body visible at night,star
A country known for its sushi and cherry blossoms,japan
"A historical monument in Washington, D.C.",lincoln memorial
A traditional Mexican dish made with corn or flour tortillas,taco
A stringed instrument smaller than a violin,viola
"A tiny, winged insect known for its buzzing sound",mosquito
A place where people go to work out,gym
A room used for cooking food,kitchen
A fabric made from plant fibers,cotton
"A large, fluffy dog breed",samoyed
A beverage made by steeping leaves in hot water,tea
A currency used in Europe,euro
A protective structure around a castle,moat
A place where criminals are kept,prison
"A soft, white mineral used in construction",chalk
A metal commonly used in wiring,copper
A mode of transportation that runs on tracks,train
A brightly colored marine fish,clownfish
A large mammal that lives in the Arctic,polar bear
"A small, sharp tool used in sewing",needle
A famous tower in France,eiffel tower
A popular fast-food sandwich,burger
A form of transportation that moves on two rails,tram
A metal container used for cooking,pan
A sweet substance made by bees,honey
A large mammal that lives in Africa and Asia,elephant
A tool used for cutting wood,saw
A type of hat worn by cowboys,stetson
A place where people go to watch movies,cinema
A large musical instrument with keys,piano
"A round, edible root vegetable",turnip
"A small, colorful fish commonly kept in aquariums",guppy
"A large, hollow musical instrument",drum
A musical instrument with six strings,guitar
"A large, carnivorous dinosaur",t-rex
A famous clock tower in London,big ben
A handheld device used for playing video games,gameboy
"A large, majestic cat found in the wild",tiger
A famous Italian pasta dish,spaghetti
A part of a plant that absorbs water,root
A metal commonly used in car manufacturing,steel
A material made from melted sand,glass
A fast-flying insect known for stinging,wasp
A long-necked animal found in Africa,giraffe
A sport played with a shuttlecock,badminton
A reptile known for its hard shell,tortoise
A type of nut often found in chocolate,hazelnut
A famous detective in British literature,sherlock
"A long, narrow boat used for racing",canoe
"A small, prickly desert plant",cactus
A red gemstone often associated with love,ruby
A place where fish are kept,aquarium
"A large, furry animal found in cold regions",polar bear
A tool used to dig holes,shovel
"A flat, round object used in ice hockey",puck
A famous theme park in Florida,disneyland
"A soft, warm drink often consumed in winter",cocoa
A metal container used to store drinks,can
A bridge made of ropes and wooden planks,rope bridge
A popular French pastry,croissant
"A large, fluffy cloud formation",cumulus
"A small, nocturnal bird of prey",owl
A reptile that can regrow its tail,gecko
A protective headgear worn in sports,helmet
"A type of large, flightless bird",ostrich
A famous children's building toy,lego
"A small, electronic device for storing books",kindle
A bright light seen during storms,lightning
A precious gemstone often used in jewelry,diamond
A tool used for hammering nails,hammer
A fruit that is red and often mistaken for a vegetable,tomato
A tool used to tighten screws,screwdriver
A popular breed of dog known for its speed,greyhound
A body of land surrounded by water,island
A person who sails a boat,sailor
A yellow flower known for tracking the sun,sunflower
A traditional Indian dish made with spices and rice,biryani
A small nocturnal mammal that flies,bat
"A soft, fluffy breakfast food made from batter",pancake
A tool used to measure length,ruler
A tall structure used for communication,tower
A famous wizard from literature,gandalf
A currency used in Japan,yen
A musical instrument with six strings,guitar
"A large, carnivorous dinosaur",t-rex
A famous clock tower in London,big ben
A handheld device used for playing video games,gameboy
"A large, majestic cat found in the wild",tiger
A famous Italian pasta dish,spaghetti
A part of a plant that absorbs water,root
A metal commonly used in car manufacturing,steel
A material made from melted sand,glass
A fast-flying insect known for stinging,wasp
A long-necked animal found in Africa,giraffe
A sport played with a shuttlecock,badminton
A reptile known for its hard shell,tortoise
A type of nut often found in chocolate,hazelnut
A famous detective in British literature,sherlock
"A long, narrow boat used for racing",canoe
"A small, prickly desert plant",cactus
A red gemstone often associated with love,ruby
A place where fish are kept,aquarium
"A large, furry animal found in cold regions",polar bear
A tool used to dig holes,shovel
"A flat, round object used in ice hockey",puck
A famous theme park in Florida,disneyland
"A soft, warm drink often consumed in winter",cocoa
A metal container used to store drinks,can
A bridge made of ropes and wooden planks,rope bridge
A popular French pastry,croissant
"A large, fluffy cloud formation",cumulus
"A small, nocturnal bird of prey",owl
A reptile that can regrow its tail,gecko
A protective headgear worn in sports,helmet
"A type of large, flightless bird",ostrich
A famous children's building toy,lego
"A small, electronic device for storing books",kindle
A bright light seen during storms,lightning
"Acquisitive chap, as we see it (8)",COVETOUS
Back yard fencing weak and sagging (6),DROOPY
"Stripping off uniform, love holding colonel's coat (10)",UNCLOTHING
Without a mark where they should be gained (4),EXAM
"Put a stop to Rugby's foul school leader (5,2,3,4)",KNOCK ON THE HEAD
Foreign letter coming in is the French letter (7),EPISTLE
Charge to pack knick-knacks hurriedly (7),AGITATO
"At first, bear one fruit or another (7)",BANANAS
Cited tot defending authoritarian leader (7),ADDUCED
"Heady mixture of qualities nurse developed (7,7)",TEQUILA SUNRISE
A little house might ... be this? (4),SEMI
The writer's twice penning papers of merit (10),IMPRESSIVE
Highest-ranking lady has heart stolen roguishly (6),ARCHLY
Grant a leader in the papers a column (8),CARYATID
Charles's going to loudly show amusement (7),CHUCKLE
Number one Scot with puritanical views (9),VICTORIAN
What handyman has flipping spoils apparel (7),TOOLKIT
Errant knight in huge trouble (7),UNHINGE
"Turned tenacious, holding on (9)",DOGLEGGED
"Stuff’s possibly tax-free, before cuts (7)",OVEREAT
"Praise, primarily, to give the thing acclaim? (7)",PLAUDIT
One admitted to being unstable? It’s still to be settled (9),LIABILITY
This vicar could be the record-holder (9),ARCHIVIST
"Complaint received by a miserly sort presenting a threat to workers (3,4)",ANT BEAR
Liberal leader gave up splitting wood (7),ASQUITH
Light vessel reversed by a kingdom once (7),ASSYRIA
"Ruling line in colour, almost ugly (7)",DYNASTY
"European bank invests — diving in here? (4,3)",DEEP END
Number one Scot with puritanical views (9),VICTORIAN
Protective cover Queen got from prime minister (6),THATCH
Share mistake and initially even Wall Street stalls? (8),PARTERRE
Concerned with small emergency arising once more (9),RESURGENT
Vouchsafed information about Roman square (5),GIVEN
Perfectionist maybe disposing of uranium to key operator (7),PIANIST
Concerned with component of blood containing iodine — that’s worrying (7),SERIOUS
Country parrot seen round city (5),KENYA
Trap surrounded by enchantment is irresistible (8),MAGNETIC
One imprisoned in lead alloy by English (8),INTERNEE
Volunteers express disapproval — that’s not acceptable (5),TABOO
"Garden flower that’s female outside, male inside (7)",VERBENA
"Little time before long trip, missing start for early contest (7)",TOURNEY
Sound beginning when hummingbird is rapidly returning (5),WHIRR
"Is old feeling of delight not starting, being alone? (9)",ISOLATION
Member got off by unknown feature of law (8),LEGALITY
European power limited by genuine revocation (6),REPEAL
Where travellers pay to go and fish (8),TURNPIKE
Refuse a black mark (7),ABSTAIN
Skill I learnt initially in prison which some find hard to swallow (9),CARTILAGE
Convincing oneself car has motion (14),AUTOSUGGESTION
Dynamic person is good in bank (5),TIGER
Soft cases used by opera violinists (7),RAVIOLI
Chap from Eagle Street (6),ERNEST
Soft-hearted person posted current crew thanks and tip (14),SENTIMENTALIST
Company went without leader as old as you and I (9),ENTOURAGE
"Royal Opera House deployed piano only, a real sleep inducer (8)",ROHYPNOL
Tending to race up and burst into song (7),NURSING
West African country introducing unknown energy fuel mixture (7),BENZINE
Rule first cells must be set up for admission (6),AVOWAL
Record single up around number four in chart (5),ENROL
"Startle, prepared to keep ace and not lead (4,1,4,4)",TAKE A BACK SEAT
It may get endless representation (5),IMAGE
Message’s tenor we may hear described (9),VOICEMAIL
Think shop needs rebuke (10),DELIBERATE
No time for jokes — strap on leg (4),JESS
"Get cash for proper detached place, not large (7)",REALISE
"Republic extremely embarrassed, withdrawing current coins (7)",DENARII
"At heart, regrets nothing in Spanish island (7)",GRENADA
Burden of work papers (7),OPPRESS
Just open a container (4),AJAR
"Fruit and meat including starter of rice for Chinese runner (5,5)",PEARL RIVER
People arrest smooth boy over a little bling (9),MEDALLION
Maxim’s garden feature? (5),GNOME
"Ma and Granny worried about Junior, a disillusioned playwright (5,5,3)",ANGRY YOUNG MAN
"Old broadcaster’s second trailer for good stuff on compiler (5,9)",THIRD PROGRAMME
"Frolic about, holding a pen (5)",KRAAL
"Land almost nothing, after a West Indian lands one (10)",AZERBAIJAN
"Injurious commercial, very Irish (7)",ADVERSE
Came together and kept busy at the guillotine? (7),KNITTED
Like some spuds? I had to speak (4),EYED
"Agreed toe is deformed somewhat (2,1,6)",TO A DEGREE
"Doctor percussing a lot who will get you looking better (7,7)",PLASTIC SURGEON
Simple game won’t come to an end — I go to bed (10),SNAPDRAGON
Queen cross with regiment holding up drink (9),ALEXANDRA
Useful feature to order any time (7),AMENITY
"Managed to support some good books: here, The Castle? (7)",OTRANTO
"Rev Vicar’s first study, say (5)",VROOM
Bullet hit pest (4),SLUG
Intrepid daughter missing parent's sister (9),DAUNTLESS
"Literary genre in South Carolina, one including Kipling poem (3-2)",SCI
Training device transforming Liam's tour (9),SIMULATOR
Plant serving sauce with meat (5),OXLIP
Clothing submerged in northern river? (9),UNDERWEAR
"Popular act, without doubt (6)",INDEED
Position of rubbish in South America (6),STATUS
Element Mendeleev originally found in flowering plant (9),GERMANIUM
"Head of police called, revealing accident (5)",PRANG
Switch posts near ground (9),TRANSPOSE
"With cunning, son locates youth leaders twice (5)",SLYLY
"Stun factory, displaying alyssum, for example (4,5)",ROCK PLANT
Argument inspector advanced in Home Counties (7),DISPUTE
Destroyed a Parisian serving-girl verbally? (6),UNMADE
Roofer left in middle or row (5),TILER
Amphibian originally eaten for tea (3),EFT
Unexpectedly grumpy about quiet revolution (12),SURPRISINGLY
"One making meteoric progress at Bisley, say? (8,4)",SHOOTING STAR
Insular type this writer maligns (8),ISLANDER
Plea to dine among competitors (8),ENTREATY
Storm created by English politician during trial (7),TEMPEST
"Shrub found in Michigan, Missouri and South America? (6)",MIMOSA
Model put up by a fabulous writer (5),AESOP
Part of circle a churchgoer joined (3),ARC
"Born high or low, pondered changing sides (4-7)",BLUE-BLOODED
Surprisingly content to ignore every new music group (5),OCTET
Promotion of publicly funded entertainment starting three months early? (9),MARKETING
Revolutionary to run broadcasting company (7),TROTSKY
Hybrid animal has feline claw shortened (7),CATTALO
Ordering of pieces from mint is a must for me (11),NUMISMATIST
Madcap display with tops off carelessly (6),ANYHOW
Was a loudmouth Liberal before getting into power? (8),HOLLERED
"Jesus follower uplifted youth with spirited stuff, just past two o'clock? (4,9)",MARY MAGDALENE
Snake swallowing piece representing half or quarter of artists (7),BOHEMIA
"Hater of Brussels sprouts to start with mushroom, having obsessed about removing cap (11)",EUROSCEPTIC
Suave person who won't keep your interest without rifling through it (6-4),SMOOTH-BORE
Section of Norman arch is thrown into disorder? (9),ANARCHIST
"9 in the morning, stopping long speech (8)",SCREAMED
A tiny toll from rise of large deer parasite in egg form (6),TINKLE
"Publicity favoured pushy salesman's data, on paper (8)",PRINTOUT
Promise to fix toilet pan (9),POTENTIAL
Disagreement on acceptance of a queen's duty (6),TARIFF
"Newlyweds' odd utensil born in couple's being eccentric? (8,5)",RUNCIBLE SPOON
"Charmer, bachelor in art school, that might be handy in a street fight (11)",SWITCHBLADE
"Opposing discrimination, say, came down on a piece from Opera North (11)",EGALITARIAN
Perhaps show outrage about popular sportsperson using strong-arm tactics (4-6),SHOT-PUTTER
Radiant quality of star directed without serious thought (5-6),LIGHT-HEADED
"Financial juggling, random, with good earnings primarily for the bottom line? (9)",ARBITRAGE
