Word,Properties
gold,"shiny, solid, precious, metal"
silver,"shiny, solid, precious, conductive"
diamond,"hard, shiny, precious, gemstone"
water,"liquid, clear, essential, compound"
fire,"hot, bright, destructive, energy"
air,"invisible, essential, gas, mixture"
earth,"solid, diverse, planet, ground"
tree,"tall, green, living, plant"
bird,"flying, feathered, animal, vocal"
fish,"swimming, aquatic, animal, gills"
sun,"hot, bright, star, energy"
moon,"cold, bright, satellite, orbit"
star,"distant, bright, celestial, light"
cloud,"fluffy, white, weather, vapor"
rain,"wet, falling, weather, precipitation"
snow,"cold, white, frozen, precipitation"
wind,"invisible, moving, air, force"
mountain,"tall, rocky, landform, elevation"
river,"flowing, water, long, freshwater"
ocean,"vast, salty, deep, water"
forest,"dense, green, trees, ecosystem"
desert,"dry, sandy, hot, barren"
island,"land, surrounded, water, isolated"
city,"urban, populated, buildings, busy"
village,"small, rural, community, quiet"
road,"long, paved, travel, path"
bridge,"structure, span, connect, support"
car,"vehicle, fast, wheels, transport"
train,"vehicle, long, tracks, transport"
airplane,"flying, fast, wings, transport"
ship,"large, floating, water, transport"
book,"paper, written, knowledge, reading"
pen,"writing, tool, ink, small"
paper,"thin, flat, material, write"
computer,"electronic, fast, data, machine"
phone,"communication, small, portable, call"
music,"sound, melody, art, rhythm"
art,"creative, visual, expression, beauty"
dance,"movement, rhythm, performance, art"
food,"edible, nutritious, meal, energy"
drink,"liquid, refreshing, beverage, thirst"
sleep,"rest, unconscious, necessary, health"
dream,"subconscious, imaginative, night, sleep"
love,"emotion, strong, affection, bond"
hate,"emotion, strong, dislike, negative"
fear,"emotion, strong, anxiety, survival"
joy,"emotion, positive, happiness, pleasure"
anger,"emotion, strong, frustration, rage"
sadness,"emotion, negative, sorrow, grief"
surprise,"emotion, sudden, unexpected, shock"
time,"continuous, measure, duration, clock"
space,"vast, infinite, universe, distance"
energy,"power, force, work, physics"
light,"bright, visible, electromagnetic, wave"
sound,"audible, vibration, wave, noise"
heat,"hot, energy, temperature, transfer"
cold,"low temperature, chill, freezing"
color,"visual, spectrum, hue, pigment"
shape,"form, geometry, structure, design"
size,"dimension, measure, scale, magnitude"
weight,"mass, gravity, measure, force"
speed,"fast, velocity, motion, rate"
direction,"orientation, path, course, compass"
distance,"length, measure, space, separation"
height,"tall, measure, elevation, vertical"
width,"broad, measure, horizontal, size"
depth,"deep, measure, vertical, distance"
volume,"capacity, measure, space, loudness"
area,"surface, measure, space, extent"
pressure,"force, measure, stress, physics"
temperature,"hot, cold, measure, heat, climate"
density,"mass, volume, measure, concentration"
texture,"feel, surface, tactile, roughness"
smell,"odor, scent, aroma, fragrance"
taste,"flavor, sense, sweet, bitter"
touch,"feel, tactile, sensation, contact"
sight,"vision, visual, see, observe"
hearing,"sound, auditory, listen, ear"
speech,"talk, communicate, language, voice"
language,"communication, words, speak, write"
thought,"mind, idea, think, cognitive"
memory,"recall, store, remember, brain"
knowledge,"information, learn, understand, facts"
wisdom,"knowledge, experience, insight, judgment"
intelligence,"smart, cognitive, brain, learn"
creativity,"imaginative, original, art, invent"
problem,"issue, difficulty, challenge, solve"
solution,"answer, resolve, fix, result"
question,"ask, inquiry, curiosity, answer"
answer,"reply, response, solution, explain"
idea,"thought, concept, plan, mind"
plan,"strategy, organize, prepare, goal"
goal,"aim, objective, target, purpose"
purpose,"reason, intention, goal, meaning"
meaning,"significance, definition, purpose, sense"
value,"worth, importance, measure, ethics"
belief,"faith, conviction, opinion, trust"
truth,"fact, reality, honesty, accuracy"
lie,"false, deceive, untruth, dishonesty"
justice,"fairness, law, right, equality"
freedom,"liberty, independence, right, free"
power,"strength, control, energy, authority"
control,"manage, direct, command, regulate"
change,"alter, transform, modify, different"
growth,"increase, develop, expand, progress"
development,"progress, growth, improve, advance"
progress,"advance, improve, develop, move"
success,"achieve, win, accomplish, victory"
failure,"lose, defeat, unsuccessful, mistake"
effort,"work, attempt, try, labor"
work,"labor, job, task, effort"
job,"work, occupation, career, task"
career,"profession, job, work, occupation"
money,"currency, wealth, cash, finance"
wealth,"rich, money, assets, fortune"
economy,"finance, system, money, trade"
trade,"exchange, commerce, business, goods"
business,"commerce, trade, company, profit"
company,"business, organization, firm, work"
profit,"gain, money, benefit, earnings"
loss,"lose, deficit, damage, failure"
market,"trade, economy, business, goods"
product,"goods, item, produce, result"
service,"help, work, provide, assistance"
customer,"client, buyer, consumer, purchase"
consumer,"buyer, user, customer, purchase"
purchase,"buy, acquire, obtain, transaction"
sale,"sell, trade, offer, transaction"
price,"cost, value, amount, charge"
cost,"expense, price, amount, charge"
value,"worth, importance, measure, ethics"
quality,"standard, excellence, grade, value"
quantity,"amount, number, measure, volume"
number,"count, digit, quantity, figure"
count,"number, total, sum, calculate"
total,"sum, whole, complete, amount"
sum,"total, amount, add, calculate"
add,"plus, increase, combine, total"
subtract,"minus, decrease, remove, reduce"
multiply,"times, increase, product, calculate"
divide,"split, share, separate, calculate"
calculate,"compute, figure, determine, math"
math,"numbers, calculation, science, logic"
science,"knowledge, study, research, facts"
research,"study, investigate, explore, science"
experiment,"test, trial, research, science"
theory,"idea, hypothesis, explanation, science"
hypothesis,"theory, assumption, guess, science"
fact,"truth, reality, evidence, knowledge"
evidence,"proof, fact, support, information"
information,"data, knowledge, facts, details"
data,"information, facts, numbers, statistics"
statistics,"data, numbers, analysis, math"
analysis,"study, examine, evaluate, research"
report,"document, information, summary, data"
document,"paper, record, file, information"
record,"document, data, information, history"
history,"past, events, time, record"
past,"history, previous, before, time"
present,"now, current, today, time"
future,"later, ahead, time, tomorrow"
time,"continuous, measure, duration, clock"
clock,"time, measure, device, hour"
hour,"time, measure, 60 minutes, clock"
minute,"time, measure, 60 seconds, hour"
second,"time, measure, short, minute"
day,"24 hours, time, light, date"
night,"dark, time, sleep, stars"
week,"7 days, time, period, calendar"
month,"time, 30 days, calendar, year"
year,"time, 12 months, calendar, season"
season,"time, weather, year, spring"
spring,"season, warm, flowers, growth"
summer,"season, hot, sun, vacation"
autumn,"season, cool, leaves, harvest"
winter,"season, cold, snow, holidays"
weather,"climate, temperature, rain, sun"
climate,"weather, region, temperature, environment"
